text_id_kaggle,full_text,gender,grade,race_ethnicity,num_words,num_words2,num_words3,num_sent,num_para,num_word_div_para,MTLD,TTR,Type,Token,task,SES,prompt,Overall,Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions
540978A8C801,"I think that the prime minister winstor churchill can have success put he need more working but can have success

I agree that he can achieve be in big primer ministre , and that he have enthusiasm that if all can in the life also, can think better also have good idea and to if have many entthusiasm but continion work and not think that can failure .

somentime think stuff negative that no is good for example a student have test and think that not the not pas the test, but if think that failure but he have think positive but all can always that, if it success y also it support the other person that think better that help and also need be always positive.

my opinio not always it success in the life because if one think that if can have many idea positiva that if the achieve be prime ministre that if is impotant role they success for me not it failure all can in thes life always positive not negative but it person that not want see the better the other person.

One reason para have success es have better idea not think bab ideas always be intellingent ,be good person, have respect be responsible also be person happy, ans be safe be in better primer ministre and be sincere also surpise the other person that not leave in you and have good intend , and no have afford but no thank in failure have to must be better and have success.

my conclution is no think that not can because if can achieve and if it success in the life and not think bab idea only good idea but be good or better person and be good employees and transmitir good vide and have courage , and be you self .                                                                                                                                                                                                                      ",Female,12,Hispanic/Latino,464,302,307,5,6,51.16666667,28.0,32.45033113,98,302,Independent,Economically disadvantaged,Success and failure,1.5,1.5,1.5,1.5,1.5,1.5,2.0
CAC2F2EE4C2D,"I belief that the best option in our life is to be a student active, that to be a student inativity, is the better for our life how students that we are, also because we can learn about the all thing that exist on this world, for to be a best person and too for our future.

we can do more if we are people active,when put our mind to work, enrich at the brain, achievement may goals that we wish on our life, like when are on high school and us stutying hard we have great grades in the class, we pass the year and set all the effort, the result is have in the hands our diploma, we will feel a sensation of happiness, and go ahead with our goals, the university and with the future.

also we feel the satisfaction because we are people that we like to be doing differents things that obvious are good, may be no is easy because somtimes we fail, but we can continue to endeavor and to be a person with goals clean that go to comply, follow with the university, and to be a person succesful in the life.

the students that have a mind occupate have more opportunities because these student are smart and people that not are lazy, obtain more adds of have the best prosonal of jobs in company or industry, in any type of job if we are people efficent that doing more in the world ,

because we enrich our brain and body and that service in the future, a style of life unique, obtain a best job to be people that can improve the world.

I think so that be a person active or doing something create a way in our life that champion to be professional because we cannto be idle, we have that to be women and men productive and obtain the job of our dreams, cause if we not doing something we are people that not have clean their goals,

in change if we are people with a brain active we can do anything in the world and understand better tha things. ",Female,11,Hispanic/Latino,339,361,361,5,7,51.57142857,39.4518773,37.67313019,136,361,Independent,Economically disadvantaged,Being busy,1.5,2.0,2.0,2.0,2.0,2.0,1.5
F5A5B0906BE8,"Technology

Technology could bring both positive and negative effects to people's lives, I think there more positive effect to technology, then negative. Technology is very effective, in many positive ways. People use technology to do many things, with out even going out there homes. Technology can even bring emergency help, way more faster. Technology is big effect to people's daily lives by helping them get locations faster, and keeps us informed on what's going on in the world, and also helps people get educated straight from home. Technology is not negative, its made this country, the strong country it is today because of technology.

People will say technology is bad, because of horrible stories they have heard. From people going crazy over technology, and on how little kids now cant even be happy if they dont have a phone in front of there face. also because they think its bad that young kids dont even want to go outside anymore, because there to busy staring at a TV all day. So most people think that technology is a negative effect on lives, because of those reasons. Thats not the case, if you really think about it, technology is in our hands, if we use it in a bad way thats a choice on us. Technology isnt the one to blame for all the bad stories over it. Technology is the key factor on why were still here today breathing and staying healthy.

Technology is a positive effect on our lives, it keeps us informed on what is happening in the world. also on what happened in the world millions of years ago. So many good ways technology has helped this world and now we know more about earth then we ever did because of technology, but not just that. It has also'ed saves lives with its help. My mom almost died in a car crash in the highway 10 years ago, but only cause someone stopped by, to help her, and called 911 with there phone the ambulance came just in time to save my moms life, Because of that one phone call, technology has had a huge positive effect on my life, and others.

It will always have a big positive effect on peoples lives, and will always have many ways to help us. it keeps us entertained, educated, healthy, and safe. what else could we ask for, technology is always going to be more positively effective then negatively, because of the stuff it does for peoples daily lives. Technology is good and a positive resource to always have with you. No matter what, if your in a horrible situation it will be there to help you, and if your in a beautiful situation, it will be there to help you take a nice video or picture of the moment to remember because of technology.",Male,10,Hispanic/Latino,522,480,476,23,5,95.2,59.5818271,40.0,192,480,Independent,Economically disadvantaged,Impact of technology,3.5,3.5,3.0,3.5,3.0,3.0,3.5
FF76D397A73C,"Not all the types of success have to be kind of hard to reach...sometime you just have to give a look in what are you good in one thing.

According to the Minister Wistom Churchill from Britain about the phrase tha he said

""Success consits of going from failure to failure without loss of enthusiam""

is 50% percent true and 50% percent wrong.

For example a person who reached the success in hard way is the now trending disigner of the brand

""Off-White""

he said on a nterview that ""it wasn't easy to be in here that I'm now you know?"" cause when ll this started I didn't had help so i find my own help with the company/brand Nike to use some of they sneakers to make my shoes design come true, i didn't have the answer of they in one day- NO! I tried and tried to get one response until one day that they say ""Yes we're working together, you can use all of our sneaker desing to make your work"". Now the colaboration between Nike and Off-White in a trending colab now in these days.

This example is a hard way to reached the success but now we are going to see two cases of ""easy success""

Two exampe of ""Easy succes"" are the actress Natalie Portman and the Ex-Proffessional Boxer Mike Tyson,they got their success cause they are naturally borned talented.

For Example the case of Mike Tyson, he was a 12 years old fighting in the streets to gain some money for his family till one day a man saw him fighting with an older boy with him in which fight Mike won, the man saw in Tyson a potential legend in the world of the Box.

Another caseis the case of the famous actress Natalie Portman, she has been a talented actress since she was a little girl. One day a friand of her mother told to Natalie to make a try to win a paper in a Hollywood movie in which Natalie won because she was naturally born a proffessional actress, she just make her future with her talent.

In conclusion not all the success people made their success with blood, sweet, and tears, some of them just were talented or used their pros to be somebody important in this world.",Male,11,Hispanic/Latino,356,400,389,11,12,32.41666667,43.04673924,49.0,196,400,Independent,Economically disadvantaged,Success and failure,3.0,3.5,3.0,3.0,3.5,2.5,2.5
9E4B02A389B4,"Online schooling or video conference? I support this way of learning for students, who feel the need to stay home or not getting to school and deaing with distractions that can stop them from learning. Staying home and learning sounds amazing because you wouldn't have to get up, get dressed, or worry about other students at school and their drama.

Learning at home sounds like a comfortable learning environment. Some students take this opportunity because either they were pregnant,moving a lot, or have anxiety that makes it hard to communicate with other peers and teachers at school. For me being in school is not a good idea I wish that I was able to take online school or at least a video conference with a teacher. Having anxiety makes it hard for me to learn at school because in class I always feel like people are always judging me or talking about me because I didn't do the homework or I got an answer wrong. Socializing with other people I don't know triggers my anxiety and makes me feel some type of way that doesn't make me want to come to school. The reason I have never brought this up to my parents about putting me into online school is because I have supporting friends and Its my last year of high school and I know I can do this and other students.

I noticed that distractions can also prevent students from learning. Distractions are everywhere,but at school theres way more. Students drama is the worst thing ever because rumors and gossip can really effect a students learning environment. In my sophomore year of high school my friend who was also a sophomore. One day in class we got a new student who came from another school, so my teacher made my friend show him around the school and everything so he could feel welcomed to this school. After a couple of days these group of girls came up to my friend and the new student and started to say really awful things about her, she went crying home. Few days later she texted me saying that she will be doing online school to stay away from distractions and get her school stuff together. From this experience that happened to my friend i think that was the best option.

When the teacher is teaching in a big class it is sometimes very hard to understand most of the time. Having a video conference with a teacher and learning one on one can really benefit from you learning. With these reasons,explanation,and experience I very much think for some students this option would be a really good idea.            ",Female,12,Asian/Pacific Islander,409,454,446,20,4,111.5,62.70975262,42.2907489,192,454,Independent,Economically disadvantaged,Distance learning,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0AFC8CE27321,"By the time students enter high school, I believe that they should have an idea of what type of career they would like to pursue after they graduate. For some students, committing to a specific career at young age sometimes is a good idea as long as you have a backup idea for a different career in case you decide that you do not want to pursue in that career anymore, thats why committing to a career at a young age is only sometimes a good idea because you'll never come up with another career if you keep changing your mind. The courses that you study in high school should be thought about as well because maybe you need a specific degree from a course in order to pursue in that career.

I believe that, if a student is going to commit to a career that they should be very passionate about this career, they should be at least a junior in high school so that they've had time to get a feel of the other careers and decide which one they enjoy and suits them the best, and they should keep in mind the requirements that are needed, the benefits, and the types of jobs that it offers to them. Students who commit to a career at a young age are usually athletes, or they plan on working in their family business.

Pursuing your career needs a lot of hard work in school especially in this generation because you're going to need to go to a good college so you need a good GPA because you're going to want to go to the college that has a good academic program for the career that you plan on pursuing. Therefore, you need to go to college, and work hard so you can get a good job because most jobs, don't hire anyone without a college degree.

Finally, thats what I think about choosing the right career for yourself, and committing to a career at a young age. although some may still believe differently and disagree with my view on this issue.                        ",Male,11,White,332,356,351,9,4,87.75,46.41310432,42.41573034,151,356,Independent,Not economically disadvantaged,Career commitment,4.5,4.5,5.0,4.5,5.0,5.0,4.5
52DC3B7C3952,"Working From Home

Should students be allowed to attend classes from home? I agree that attending classes while at home would be beneficial for many people and can actually help them work better. One reason is that it would be less stressful for the student and put a lot less pressure into getting the work done. Another reason is that it would give them more time to work, for example they could relax and take little breaks while working instead of having to cram all that work into one class session. My last reason is that it would help improve grades. If a student is allowed to work while being at home, it would allow their brain time to think more about their work and how they can improve it.

Attending classes from home would be less stressful and put a lot less pressure on the student. For example, one class session is an hour and thirty minutes. Teachers give a lot of work to students and expect them to get it done without any problem, but the problem is they can't because being forced to do a lot of work is not very fun and with very limited time can put a lot of stress on the teenage brain and also damage their mental health. Expectations now a days are really high for students but their mental health and state aren't taken into consideration.

Time is of the essence. Students need time to get their work done and whatever they aren't able to complete becomes homework. Having to do a lot of work without being able to take a break can really suck. Imagine if you had to do a bunch of work without being able to take a rest because whatever you don't complete you're gonna have to complete at home. If students could work from home, they'd have all the time they need to get their work done and they could take a break if they got too tired. At home students wouldn't have to worry about time because they could complete the work at their own pace.

Grades are important, and when a student gets a bad grade, it isn't exactly the best look. Working from home would allow students more time to think about their work, when in a classroom students can't spend a lot of time thinking because they don't have much time. On the other hand, being at home would give them all the time they could possibly need to complete their work and how they could improve it for a better grade. If students could improve their work they would get better grades, and there's no better place to do that then home, the place you're most comfortable with.

To sum it all up, students should be allowed to attend classes from home because it causes less stress and pressure which is better for their mental health, gives them more time to think and do their work, and helps improve their grades while in a place they're more comfortable with.",Male,11,Asian/Pacific Islander,550,522,508,21,6,84.66666667,57.06088457,31.99233716,167,522,Independent,Economically disadvantaged,Distance learning,5.0,5.0,5.0,4.5,5.0,5.0,5.0
BE4764F7BFF1,"The Downside of Online Classes

A couple of schools offer online classes through virtual videos and video conferencing for students to take from home. Some schools might think that students would benefit from this and others think that this is not a good idea. From my perspective, students would not benefit from taking online classes for many reasons such as; they could get distracted easily, they miss out interacting with teachers and students, and they would eventually get bored of online school at home.

To begin with, many students K though 12th grade get distracted easily. The distraction is not because we don't want to do the work, but it's our minds. Everyone's minds work in a different way and theres always going to be that part of us that gets distracted by the small things around us. Also, technology is somewhat of an issue because it distracts many people because of the games and many apps that it has. Students could go off task and go off playing games or watching videos while they are supposed to be learning and doing their work online. For example, sometimes even I get distracted while doing my work at home through my computer or smart device because of the many other things I could be doing instead of doing homework. There are many distractions online and around us that could make us go off task instead of keeping us focused to do our work.

Furthermore, many students would miss out on interacting with other students, teachers, and staff. In other words, when you are taking online classes the only person there with you would be your teacher, whom is communicating with you through your computer. No one else would be there with you to help you through it, everything would have to be on your own. Ultimately, if you are in a school many teachers and students would be there to assist you with any questions or concerns that you might have. Also, you would miss out on a lot more exciting events such as school dances,

football games, and pep rallies. There is so much that you would miss out if you wouldn't go to a public school and decided to take online school instead.

Ultimately, you would also be spending almost all day in your house because of online classes. A regular school day is about 8 hours, meaning the online classes would be about the same time , or more or less. In school 8 hours is already tiring enough because of the learning and listening, but think of 8 hours at home with no breaks in between, that would be extremely exhausting. Almost all students that attend school come for a full 8 hour day, which includes break in between classes, then once school is over they go back home to be able to relax. If you are at home for 8 hours doing work, you wouldn't want to spend time relaxing at your home because eventually it would get boring there after a while. In my experience being at home gets boring to the point where I don't know what else to do to not be bored at home. In other words, being in the same place for a whole day would get boring and uncomfortable.

On the other hand, other schools claim that it is a good idea for students to take online classes. They are in favor of taking online classes through video conferencing. Some of the schools think that online classes are a good idea because many students could possibly avoid drama, get 1 on 1 assistance, and learn quicker. Although some of it is true, online classes should not be necessary. Online school should only be necessary if a student does not feel safe at their school because of personal reasons.

Overall, online classes are not a good idea at all unless it is necessary because of safety issues. Besides that, it would not be a good idea because many students would get distracted when they are supposed to be doing work, students would miss out on interacting with other students, teachers, and staff, and they would spend most of their day at home which is unhealthy.",Female,11,Hispanic/Latino,754,709,704,30,8,88.0,55.96522655,33.14527504,235,709,Independent,Economically disadvantaged,Distance learning,4.5,5.0,4.5,4.0,4.0,4.5,4.5
A5328D4B32DA,"To me it is better to go to school instead of online classes because it is more involved. Personally I am a visual learner so being around peers and adults that can help me would be way better. If students were able to just stay home and do school they wouldnt have much resources and they wouldnt really learn the material. Students who are in class have to pay attention because adults are around and they have to listen to rules. If you are at home you could do anything and not learn the information just do it for the grade and not actually memorize it for later when you would need it.

Not only is it helpful academically attending school it also helps you socially. You learn how to interact with people and how they interact with you. In class if someone says the wrong answer it is explained and taught why it is wrong so you learn more and it helps you. You learn how to act with adults, how to talk to different people, see different cultures, learn right from wrong, just basic life skills people need. At home it is really just you doing work with maybe another person, you learn more academically but not socially and you need social skills too.  ",Female,12,Hispanic/Latino,211,216,216,10,2,108.0,37.89801965,49.07407407,106,216,Independent,Economically disadvantaged,Distance learning,4.0,4.5,4.0,4.5,4.5,4.0,4.0
869367F8A718,"Imagine not having to wake up earlier in order to shower, eat and put clothes on. Some schools have the convinient choice to let students study from home via online courses or through video. Some Students are fortunate enough to learn from their own home so, they wouldnt go through these minor set backs. Many students wish they were able to learn from home and not having to go to a public or private school. Students could also take courses that are nessesary for them and could help them with things that really are needed for the rest of their lives. For these students learning from home brings many benefits because, students would not worry about getting to school, they would still be able to learn whlile sick, and they would learn at a pace they needed to.

First, the students would'nt worry about how they were going to get to school. Students could relax a lot more knowing that they did not have to make those sacrifices to get to school. Having to make it on time to school adds an emense amount pressure to a student, because they know that their teacher would be angry for being late to their class, but when taking online courses they would be able to learn from home and not worry about making it on time. Being in a public school is all about timing becuase being late could have you getting lectures for hours on end and could get you introuble with your administrator, which is why when you learn from home you could do it any time through out your day because its an online course and its available at all times, when you also learn from home you're able to take your time on certain activities and such other tasks. Depending on the weather that could be even more time consuming, for example if its snowing you would have to warm your vehicle up in order to be able to drive it,and for people who walk to school they suffer the most because they have to either sweat or be so cold on the way to school and on the way back.

Second, students would'nt have to make it to school even when sick. Many schools suggest that students should stay home when sick in order to prevent the sickness from getting every other person in that building sick. When a student takes an online course, they could still learn from home without getting anyone else sick. Missing school could probably be one of the worst things, all because of the amount of work you would have to catch up on. Students that take the online courses are alot luckier because they are still able to learn from bed with any sort of sickness. Some students miss an important day like test days, but when they do they have to wait to take the test and get a zero in the grade book untill they complete the test on what ever make up day is assigned to them. When students who take online cources miss the test day they could complete it when ever, just because it's online and it won't have to be taken on hard copy .

Lastly, the student would be able to learn at he pace that they desire. Students who attend public schools know that they dont always move at the desirable pace because their are many others in there learning with them. For example when a student sits down in math class, the teacher is either really quick or the teacher is really slow. But when online you could have the teacher to please repeat themselves and move at the pace you would really like to. When a teacher has a class of twenty-plus kids she/ he really cant give you undevided attention because there are so many students in that class. For students who take the online classes they could have full attention of the teacher because every student has one specific teacher assigned to just for them, with this they are able to learn a lot more and are able to move from subject to subject alot quicker. The student who take the online class will also move at a much faster rate, because they wouldnt have any sort of distractions, but would give the teacher alot more attention than they would in a public class.

Some schools across the United States offer students the choice to take online courses from home. This helps many students that have problems getting to school and home, it allows students to learn at the pace they will be more successful at, and would help when a student is not feeling well enough to go to school. Many of the students wish they were able to take an online course, which is much better than an online school.",Male,11,Hispanic/Latino,791,819,813,28,5,162.6,58.8854935,31.25763126,256,819,Independent,Economically disadvantaged,Distance learning,4.5,4.5,4.5,4.5,5.0,4.5,4.0
